Protein	Label	adj.pvalue	accession	interesting	Annotation	Species	BiologicalProcess	GOTerms
CHOYP_CP3AO.1.1|m.63459	EelgrassSK-EelgrassWB	0.115970026	sp|P51538|CP3A9_RAT		Cytochrome P450 3A9 (EC 1.14.14.1) (3AH15) (CYPIIIA9) (Cytochrome P450 olfactive 3) (Cytochrome P450-OLF3)	Rattus norvegicus (Rat)	response to stimulus [GO:0050896]; sensory perception of smell [GO:0007608]	GO:0004497; GO:0005506; GO:0005789; GO:0007608; GO:0008395; GO:0020037; GO:0031090; GO:0050896; GO:0070330
CHOYP_BRAFLDRAFT_118500.1.1|m.46374	EelgrassCI-EelgrassFB	0.121448714	sp|O75131|CPNE3_HUMAN		Copine-3 (Copine III)	Homo sapiens (Human)	cellular response to calcium ion [GO:0071277]; cellular response to growth factor stimulus [GO:0071363]; ERBB2 signaling pathway [GO:0038128]; glycerophospholipid biosynthetic process [GO:0046474]; lipid metabolic process [GO:0006629]; positive regulation of cell migration [GO:0030335]; vesicle-mediated transport [GO:0016192]	GO:0004674; GO:0005215; GO:0005544; GO:0005634; GO:0005737; GO:0005829; GO:0005886; GO:0005925; GO:0006629; GO:0016192; GO:0030054; GO:0030335; GO:0030971; GO:0038128; GO:0044822; GO:0046474; GO:0048306; GO:0070062; GO:0071277; GO:0071363
CHOYP_LOC100368695.1.1|m.26746	EelgrassCI-EelgrassFB	0.121448714	sp|O43301|HS12A_HUMAN		Heat shock 70 kDa protein 12A	Homo sapiens (Human)	0	GO:0005524; GO:0070062
CHOYP_EF2.1.5|m.1541	EelgrassCI-EelgrassSK	0.127771756	sp|P24156|L2CC_DROME		Protein l(2)37Cc	Drosophila melanogaster (Fruit fly)	cellular response to hypoxia [GO:0071456]; multicellular organism development [GO:0007275]; sensory perception of pain [GO:0019233]	GO:0005737; GO:0005739; GO:0005811; GO:0005875; GO:0007275; GO:0016020; GO:0019233; GO:0071456
CHOYP_BRAFLDRAFT_122807.1.1|m.3729	EelgrassCI-EelgrassSK	0.131083702	sp|Q99MD6|TRXR3_MOUSE		Thioredoxin reductase 3 (EC 1.8.1.9) (Thioredoxin and glutathione reductase) (Thioredoxin reductase TR2)	Mus musculus (Mouse)	cell differentiation [GO:0030154]; cell redox homeostasis [GO:0045454]; glutathione metabolic process [GO:0006749]; multicellular organism development [GO:0007275]; spermatogenesis [GO:0007283]	GO:0004791; GO:0005634; GO:0005783; GO:0006749; GO:0007275; GO:0007283; GO:0009055; GO:0015035; GO:0030154; GO:0045454; GO:0050660
CHOYP_CLC4E.1.1|m.15210	BarePG-BareWB	0.133548348	sp|P86854|PLCL_MYTGA		Perlucin-like protein	Mytilus galloprovincialis (Mediterranean mussel)	0	GO:0005576; GO:0030246
CHOYP_LOC100339607.1.1|m.59202	EelgrassCI-EelgrassSK	0.135018463	sp|P86854|PLCL_MYTGA		Perlucin-like protein	Mytilus galloprovincialis (Mediterranean mussel)	0	GO:0005576; GO:0030246
CHOYP_LONM.1.1|m.7031	EelgrassPG-EelgrassSK	0.159420999	sp|Q8CGK3|LONM_MOUSE		Lon protease homolog			
CHOYP_BRAFLDRAFT_101346.1.1|m.1028	BareFB-BareWB	0.174789568	sp|Q6PDY2|AEDO_MOUSE		2-aminoethanethiol dioxygenase (EC 1.13.11.19) (Cysteamine dioxygenase)	Mus musculus (Mouse)	oxidation-reduction process [GO:0055114]	GO:0005739; GO:0046872; GO:0047800; GO:0055114
CHOYP_BRAFLDRAFT_129234.1.1|m.10468	BareFB-BareSK	0.182183775	sp|Q80Y14|GLRX5_MOUSE		Glutaredoxin-related protein 5			
CHOYP_LOC100561262.1.1|m.16846	EelgrassCI-EelgrassSK	0.195933531	sp|P47791|GSHR_MOUSE		Glutathione reductase			
CHOYP_MRP4.3.3|m.47438	BarePG-BareWB	0.206526902	sp|O15439|MRP4_HUMAN		Multidrug resistance-associated protein 4 (ATP-binding cassette sub-family C member 4) (MRP/cMOAT-related ABC transporter) (Multi-specific organic anion transporter B) (MOAT-B)	Homo sapiens (Human)	cilium assembly [GO:0042384]; platelet degranulation [GO:0002576]; prostaglandin secretion [GO:0032310]; transmembrane transport [GO:0055085]	GO:0002576; GO:0005524; GO:0005886; GO:0015662; GO:0016020; GO:0016021; GO:0016323; GO:0016404; GO:0031088; GO:0032310; GO:0042384; GO:0043225; GO:0055085
CHOYP_BRAFLDRAFT_94906.1.1|m.59345	BareFB-BareSK	0.209546924	sp|P90994|DJ11_CAEEL		Glutathione-independent glyoxalase DJR-1.1 (EC 4.2.1.130) (Protein DJ-1 homolog 1)	Caenorhabditis elegans	cellular response to glyoxal [GO:0036471]; cellular response to hydrogen peroxide [GO:0070301]; cellular response to methylglyoxal [GO:0097238]; glycolate biosynthetic process [GO:0046295]; glyoxal catabolic process [GO:1903190]; methylglyoxal catabolic process to D-lactate via S-lactoyl-glutathione [GO:0019243]; negative regulation of neuron death [GO:1901215]; protein deglycosylation [GO:0006517]; protein repair [GO:0030091]; regulation of transcription from RNA polymerase II promoter [GO:0006357]; response to toxic substance [GO:0009636]	GO:0003713; GO:0005634; GO:0005737; GO:0005829; GO:0006357; GO:0006517; GO:0009636; GO:0019172; GO:0019243; GO:0030091; GO:0036471; GO:0046295; GO:0070301; GO:0097238; GO:1901215; GO:1903190; GO:1990422
CHOYP_LOC100533316.2.2|m.47773	EelgrassFB-EelgrassSK	0.212659496	sp|Q8K0U4|HS12A_MOUSE		Heat shock 70 kDa protein 12A	Mus musculus (Mouse)	0	GO:0005524; GO:0070062
CHOYP_BRAFLDRAFT_68934.2.2|m.62964	BareCI-BareSK	0.213270781	sp|O09164|SODE_MOUSE		Extracellular superoxide dismutase [Cu-Zn] (EC-SOD) (EC 1.15.1.1)	Mus musculus (Mouse)	response to copper ion [GO:0046688]; response to hypoxia [GO:0001666]; response to reactive oxygen species [GO:0000302]	GO:0000302; GO:0001666; GO:0004784; GO:0005507; GO:0005615; GO:0005634; GO:0005796; GO:0005802; GO:0008270; GO:0031012; GO:0046688; GO:0070062
CHOYP_LOC732900.1.1|m.62814	BareFB-BareSK	0.215344566	sp|Q641Y2|NDUS2_RAT		NADH dehydrogenase [ubiquinone] iron-sulfur protein 2			
CHOYP_LOC770082.3.4|m.34164	BareCI-BareSK	0.222969932	sp|Q9CZJ2|HS12B_MOUSE		Heat shock 70 kDa protein 12B	Mus musculus (Mouse)	0	GO:0005524
CHOYP_HS12A.25.33|m.60352	EelgrassCI-EelgrassSK	0.233775117	sp|Q9CZJ2|HS12B_MOUSE		Heat shock 70 kDa protein 12B	Mus musculus (Mouse)	0	GO:0005524
CHOYP_LOC100180855.2.4|m.46097	BareCI-BarePG	0.238764411	sp|Q8LGG8|USPAL_ARATH		Universal stress protein A-like protein	Arabidopsis thaliana (Mouse-ear cress)	response to stress [GO:0006950]	GO:0005886; GO:0006950; GO:0016208
CHOYP_BRAFLDRAFT_282105.1.2|m.43460	EelgrassSK-EelgrassWB	0.252700467	sp|Q94CF0|EHD1_ARATH		EH domain-containing protein 1 (AtEHD1) (EC 3.6.5.2)	Arabidopsis thaliana (Mouse-ear cress)	endocytic recycling [GO:0032456]; endocytosis [GO:0006897]; hyperosmotic salinity response [GO:0042538]; protein homooligomerization [GO:0051260]	GO:0005509; GO:0005525; GO:0005737; GO:0005768; GO:0005886; GO:0006897; GO:0009506; GO:0010008; GO:0016020; GO:0016787; GO:0032456; GO:0042538; GO:0043231; GO:0051260
CHOYP_LOC100368486.1.1|m.18263	EelgrassPG-EelgrassSK	0.259827438	sp|O95433|AHSA1_HUMAN		Activator of 90 kDa heat shock protein ATPase homolog 1 (AHA1) (p38)	Homo sapiens (Human)	response to stress [GO:0006950]	GO:0001671; GO:0005737; GO:0005783; GO:0005829; GO:0005913; GO:0006950; GO:0051087; GO:0070062; GO:0098641
CHOYP_HS12A.11.33|m.39341	BareCI-BarePG	0.279073622	sp|O43301|HS12A_HUMAN		Heat shock 70 kDa protein 12A	Homo sapiens (Human)	0	GO:0005524; GO:0070062
CHOYP_ISCW_ISCW001592.2.2|m.39325	EelgrassSK-EelgrassWB	0.301122698	sp|Q6UW02|CP20A_HUMAN		Cytochrome P450 20A1 (EC 1.14.-.-)	Homo sapiens (Human)	0	GO:0004497; GO:0005506; GO:0016020; GO:0016021; GO:0016705; GO:0020037
CHOYP_LOC591177.1.1|m.1476	BareCI-BareFB	0.305100156	sp|Q8K0U4|HS12A_MOUSE		Heat shock 70 kDa protein 12A	Mus musculus (Mouse)	0	GO:0005524; GO:0070062
CHOYP_PLCL.6.8|m.64296	EelgrassCI-EelgrassSK	0.308996126	sp|P86854|PLCL_MYTGA		Perlucin-like protein	Mytilus galloprovincialis (Mediterranean mussel)	0	GO:0005576; GO:0030246
CHOYP_NEMVEDRAFT_V1G234225.1.1|m.49490	BareFB-BareWB	0.310534964	sp|O77834|PRDX6_BOVIN		Peroxiredoxin-6 (EC 1.11.1.15) (1-Cys peroxiredoxin) (1-Cys PRX) (Acidic calcium-independent phospholipase A2) (aiPLA2) (EC 3.1.1.-) (Antioxidant protein 2) (Ciliary body glutathione peroxidase) (Non-selenium glutathione peroxidase) (NSGPx) (EC 1.11.1.9) (PHGPx)	Bos taurus (Bovine)	cell redox homeostasis [GO:0045454]; phospholipid catabolic process [GO:0009395]; response to reactive oxygen species [GO:0000302]	GO:0000302; GO:0004601; GO:0004602; GO:0004623; GO:0005615; GO:0005737; GO:0005764; GO:0005829; GO:0009395; GO:0016020; GO:0016023; GO:0045454; GO:0051920; GO:0070062
CHOYP_ISCW_ISCW011341.1.1|m.18728	EelgrassSK-EelgrassWB	0.317801816	sp|B4NYV0|SRRT_DROYA		Serrate RNA effector molecule homolog (Arsenite-resistance protein 2 homolog)	Drosophila yakuba (Fruit fly)	primary miRNA processing [GO:0031053]; RNA interference [GO:0016246]	GO:0005654; GO:0016246; GO:0031053
CHOYP_BRAFLDRAFT_125037.1.3|m.2939	EelgrassSK-EelgrassWB	0.32646378	sp|Q58EK5|TDRD1_DANRE		Tudor domain-containing protein 1	Danio rerio (Zebrafish) (Brachydanio rerio)	DNA methylation involved in gamete generation [GO:0043046]; gene silencing by RNA [GO:0031047]; germ cell development [GO:0007281]; meiotic cell cycle [GO:0051321]; P granule organization [GO:0030719]; piRNA metabolic process [GO:0034587]; spermatogenesis [GO:0007283]	GO:0005737; GO:0007281; GO:0007283; GO:0030719; GO:0031047; GO:0034584; GO:0034587; GO:0043046; GO:0043186; GO:0046872; GO:0051321; GO:0071546
CHOYP_HS74L.1.1|m.24610	BareFB-BareWB	0.333274775	sp|O95757|HS74L_HUMAN		Heat shock 70 kDa protein 4L (Heat shock 70-related protein APG-1) (Osmotic stress protein 94)	Homo sapiens (Human)	protein folding [GO:0006457]; response to unfolded protein [GO:0006986]	GO:0005524; GO:0005634; GO:0005737; GO:0005829; GO:0006457; GO:0006986
CHOYP_LOC586494.1.1|m.50214	EelgrassCI-EelgrassSK	0.348076994	sp|Q96T60|PNKP_HUMAN		Bifunctional polynucleotide phosphatase/kinase (DNA 5'-kinase/3'-phosphatase) (Polynucleotide kinase-3'-phosphatase) [Includes: Polynucleotide 3'-phosphatase (EC 3.1.3.32) (2'(3')-polynucleotidase); Polynucleotide 5'-hydroxyl-kinase (EC 2.7.1.78)]	Homo sapiens (Human)	dephosphorylation [GO:0016311]; DNA 3' dephosphorylation involved in DNA repair [GO:0098504]; DNA damage response	
CHOYP_HS12B.12.14|m.61908	BareCI-BareFB	0.366383297	sp|O43301|HS12A_HUMAN		Heat shock 70 kDa protein 12A	Homo sapiens (Human)	0	GO:0005524; GO:0070062
CHOYP_BRAFLDRAFT_241420.1.1|m.61408	BareFB-BareSK	0.389014076	sp|Q8CG72|ARHL2_MOUSE		Poly(ADP-ribose) glycohydrolase ARH3 (EC 3.2.1.143) (ADP-ribosylhydrolase 3) ([Protein ADP-ribosylarginine] hydrolase-like protein 2)	Mus musculus (Mouse)	cellular response to superoxide [GO:0071451]	GO:0004649; GO:0005634; GO:0005654; GO:0005737; GO:0005739; GO:0005759; GO:0046872; GO:0071451
CHOYP_LOC100207121.1.9|m.14550	EelgrassFB-EelgrassWB	0.390185	sp|Q8K0U4|HS12A_MOUSE		Heat shock 70 kDa protein 12A	Mus musculus (Mouse)	0	GO:0005524; GO:0070062
CHOYP_CATA.3.3|m.21642	EelgrassSK-EelgrassWB	0.398801527	sp|Q9PWF7|CATA_RUGRU		Catalase (EC 1.11.1.6)	Rugosa rugosa (Japanese wrinkled frog) (Glandirana rugosa)	hydrogen peroxide catabolic process [GO:0042744]; response to oxidative stress [GO:0006979]	GO:0004096; GO:0005777; GO:0006979; GO:0020037; GO:0042744; GO:0046872
CHOYP_LOC100200137.1.1|m.23041	BareSK-EelgrassSK	0.431374697	sp|P19208|HSP7C_CAEBR		Heat shock 70 kDa protein C	Caenorhabditis briggsae	0	GO:0005524; GO:0005788
CHOYP_BRAFLDRAFT_128825.1.1|m.10785	BareSK-EelgrassSK	0.443682196	sp|Q6AYP6|SAXO1_RAT		Stabilizer of axonemal microtubules 1	Rattus norvegicus (Rat)	cell projection organization [GO:0030030]; cellular response to cold [GO:0070417]; cold acclimation [GO:0009631]; positive regulation of cilium assembly [GO:0045724]	GO:0005814; GO:0005879; GO:0008017; GO:0009631; GO:0030030; GO:0031512; GO:0036064; GO:0036126; GO:0045724; GO:0070417
CHOYP_CNOT1.1.1|m.12104	EelgrassPG-EelgrassWB	0.466474709	sp|Q6ZQ08|CNOT1_MOUSE		CCR4-NOT transcription complex subunit 1 (CCR4-associated factor 1)	Mus musculus (Mouse)	gene silencing by miRNA [GO:0035195]; negative regulation of intracellular estrogen receptor signaling pathway [GO:0033147]; negative regulation of retinoic acid receptor signaling pathway [GO:0048387]; negative regulation of transcription from RNA polymerase II promoter [GO:0000122]; negative regulation of translation [GO:0017148]; nuclear-transcribed mRNA catabolic process	
CHOYP_BRAFLDRAFT_114859.1.1|m.37271	BareCI-BareFB	0.470170721	sp|Q15119|PDK2_HUMAN		[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 2			
CHOYP_HSP7C.1.2|m.22077	BareFB-BareWB	0.503911411	sp|P63018|HSP7C_RAT		Heat shock cognate 71 kDa protein (Heat shock 70 kDa protein 8)	Rattus norvegicus (Rat)	aging [GO:0007568]; axo-dendritic transport [GO:0008088]; cellular protein complex disassembly [GO:0043624]; cellular response to cadmium ion [GO:0071276]; cellular response to heat [GO:0034605]; cerebellum development [GO:0021549]; chaperone-mediated autophagy [GO:0061684]; chaperone-mediated autophagy translocation complex disassembly [GO:1904764]; chaperone-mediated protein folding [GO:0061077]; chaperone mediated protein folding requiring cofactor [GO:0051085]; chaperone-mediated protein transport involved in chaperone-mediated autophagy [GO:0061741]; clathrin coat disassembly [GO:0072318]; estrous cycle [GO:0044849]; forebrain development [GO:0030900]; G1/S transition of mitotic cell cycle [GO:0000082]; intracellular protein transmembrane import [GO:0044743]; kidney development [GO:0001822]; mRNA processing [GO:0006397]; negative regulation of cardiac muscle cell apoptotic process [GO:0010667]; negative regulation of hydrogen peroxide-induced cell death [GO:1903206]; negative regulation of transcription	
CHOYP_HSP7E.1.1|m.13730	EelgrassSK-EelgrassWB	0.518407368	sp|Q2YDD0|HSP7E_BOVIN		Heat shock 70 kDa protein 14	Bos taurus (Bovine)	0	GO:0005524; GO:0005829; GO:0005840; GO:0016020
CHOYP_PDIA3.1.1|m.60223	EelgrassPG-EelgrassSK	0.552081987	sp|Q8JG64|PDIA3_CHICK		Protein disulfide-isomerase A3 (EC 5.3.4.1) (Endoplasmic reticulum resident protein 57) (ER protein 57) (ERp57) (Glucose-regulated thiol oxidoreductase 58 kDa protein)	Gallus gallus (Chicken)	cell redox homeostasis [GO:0045454]; positive regulation of extrinsic apoptotic signaling pathway [GO:2001238]; protein folding [GO:0006457]; response to endoplasmic reticulum stress [GO:0034976]	GO:0003756; GO:0005634; GO:0005783; GO:0005788; GO:0005925; GO:0006457; GO:0009986; GO:0034976; GO:0042470; GO:0043209; GO:0044822; GO:0045454; GO:0070062; GO:2001238
CHOYP_HS12A.20.33|m.55554	BareWB-EelgrassWB	0.562514212	sp|Q8K0U4|HS12A_MOUSE		Heat shock 70 kDa protein 12A	Mus musculus (Mouse)	0	GO:0005524; GO:0070062
CHOYP_LOC100024935.1.1|m.2615	BareFB-BareSK	0.574446984	sp|Q95108|THIOM_BOVIN		Thioredoxin			
CHOYP_LOC770082.4.4|m.37278	EelgrassPG-EelgrassWB	0.600342214	sp|Q9CZJ2|HS12B_MOUSE		Heat shock 70 kDa protein 12B	Mus musculus (Mouse)	0	GO:0005524
CHOYP_LOC100119577.1.1|m.47861	EelgrassFB-EelgrassWB	0.60172914	sp|Q60676|PPP5_MOUSE		Serine/threonine-protein phosphatase 5 (PP5) (EC 3.1.3.16) (Protein phosphatase T) (PPT)	Mus musculus (Mouse)	cellular response to cadmium ion [GO:0071276]; cellular response to hydrogen peroxide [GO:0070301]; histone dephosphorylation [GO:0016576]; negative regulation of neuron death [GO:1901215]; negative regulation of protein phosphorylation [GO:0001933]; positive regulation of glucocorticoid receptor signaling pathway [GO:2000324]; positive regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043123]; protein heterooligomerization [GO:0051291]; response to lead ion [GO:0010288]; response to morphine [GO:0043278]	GO:0001933; GO:0003723; GO:0004721; GO:0004871; GO:0005524; GO:0005654; GO:0005737; GO:0005829; GO:0005886; GO:0010288; GO:0016576; GO:0042802; GO:0043123; GO:0043204; GO:0043231; GO:0043234; GO:0043278; GO:0043531; GO:0046872; GO:0051291; GO:0070301; GO:0071276; GO:1901215; GO:1990635; GO:2000324
