"Protein","Label","log2FC","SE","Tvalue","DF","pvalue","adj.pvalue","issue","MissingPercentage","ImputationPercentage","accession","Code1","Annotation","Code2","Species","BiologicalProcess","GOTerms","Pathway","ProteinCode"
"CHOYP_1433Z.1.1|m.17045","Eelgrass-Bare",0.506301247638788,0.566463409520536,0.893793383878634,16,0.384679898112678,0.942060864972504,NA,0,0,"sp|Q2F637|1433Z_BOMMO","1433Z_BOMMO","14-3-3 protein zeta","14-3-3zeta","Bombyx mori (Silk moth)","0","GO:0005737","0","PF00244;"
"CHOYP_BRAFLDRAFT_76550.10.21|m.50091","Eelgrass-Bare",1.96935123199066,0.764027861802297,2.57759085819865,16,0.0202405394495606,0.786895644121482,NA,0,0,"sp|P18503|CAS4_EPHMU","CAS4_EPHMU","Short-chain collagen C4 (Fragment)","0","Ephydatia muelleri (Mueller's freshwater sponge)","0","GO:0005578; GO:0005581","0","PF01391;"
"CHOYP_BRAFLDRAFT_76550.12.21|m.51114","Eelgrass-Bare",0.269646369329604,1.24672593489572,0.216283596725015,16,0.831500101176825,0.994769849747695,NA,0.0833333333333334,0.0833333333333333,"sp|P18503|CAS4_EPHMU","CAS4_EPHMU","Short-chain collagen C4 (Fragment)","0","Ephydatia muelleri (Mueller's freshwater sponge)","0","GO:0005578; GO:0005581","0","PF01391;"
"CHOYP_BRAFLDRAFT_76550.15.21|m.63277","Eelgrass-Bare",0.0972635395959549,1.10365574131357,0.0881285132265901,15,0.930940349612746,0.994769849747695,NA,0.05,0,"sp|P18503|CAS4_EPHMU","CAS4_EPHMU","Short-chain collagen C4 (Fragment)","0","Ephydatia muelleri (Mueller's freshwater sponge)","0","GO:0005578; GO:0005581","0","PF01391;"
"CHOYP_BRAFLDRAFT_76550.20.21|m.65941","Eelgrass-Bare",1.15332798910117,1.34583594905739,0.856960307761842,16,0.40412006911952,0.942060864972504,NA,0,0,"sp|P18503|CAS4_EPHMU","CAS4_EPHMU","Short-chain collagen C4 (Fragment)","0","Ephydatia muelleri (Mueller's freshwater sponge)","0","GO:0005578; GO:0005581","0","PF01391;"
"CHOYP_BRAFLDRAFT_76550.4.21|m.38730","Eelgrass-Bare",0.909466176762544,1.2058786466235,0.754193781695261,16,0.461689282088272,0.961936492600764,NA,0.0166666666666667,0.0166666666666667,"sp|P18503|CAS4_EPHMU","CAS4_EPHMU","Short-chain collagen C4 (Fragment)","0","Ephydatia muelleri (Mueller's freshwater sponge)","0","GO:0005578; GO:0005581","0","PF01391;"
"CHOYP_BRAFLDRAFT_76662.3.3|m.61577","Eelgrass-Bare",0.432939098638497,0.724093186070767,0.597905224033119,16,0.55827203721531,0.979591620635068,NA,0,0,"sp|Q6ZV70|LANC3_HUMAN","LANC3_HUMAN","LanC-like protein 3","LANCL3","Homo sapiens (Human)","signal transduction [GO:0007165]","GO:0003824; GO:0005886; GO:0007165","0","PF05147;"
"CHOYP_BRAFLDRAFT_76728.1.1|m.17486","Eelgrass-Bare",0.286518298256507,0.670898195249344,0.427066729774136,16,0.675022140260377,0.987321701910555,NA,0.05,0.05,"sp|Q6P8G1|ILF2_XENTR","ILF2_XENTR","Interleukin enhancer-binding factor 2 homolog","ilf2 TEgg021l09.1 TEgg033l23.1","Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)","immune response [GO:0006955]; positive regulation of transcription, DNA-templated [GO:0045893]; transcription, DNA-templated [GO:0006351]","GO:0003677; GO:0003725; GO:0005524; GO:0005634; GO:0005730; GO:0006351; GO:0006955; GO:0016740; GO:0045893","0","PF07528;"
"CHOYP_BRAFLDRAFT_77063.1.1|m.8252","Eelgrass-Bare",0.667120509057668,0.605081484237859,1.10253003345153,16,0.28653957936364,0.890993706905979,NA,0,0,"sp|Q8D3M4|PHNW_VIBVU","PHNW_VIBVU","2-aminoethylphosphonate--pyruvate transaminase (EC 2.6.1.37) (2-aminoethylphosphonate aminotransferase) (AEP transaminase) (AEPT)","phnW VV2_1664","Vibrio vulnificus (strain CMCP6)","organic phosphonate catabolic process [GO:0019700]","GO:0019700; GO:0047304","0","PF00266;"
"CHOYP_BRAFLDRAFT_77132.1.2|m.5217","Eelgrass-Bare",0.832975295135208,0.667239853856984,1.24838960131082,16,0.22984784867387,0.870178028947756,NA,0.0333333333333333,0.0333333333333333,"sp|Q9UNH7|SNX6_HUMAN","SNX6_HUMAN","Sorting nexin-6 (TRAF4-associated factor 2) [Cleaved into: Sorting nexin-6, N-terminally processed]","SNX6","Homo sapiens (Human)","endocytosis [GO:0006897]; intracellular protein transport [GO:0006886]; negative regulation of epidermal growth factor-activated receptor activity [GO:0007175]; negative regulation of transcription, DNA-templated [GO:0045892]; negative regulation of transforming growth factor beta receptor signaling pathway [GO:0030512]; regulation of macroautophagy [GO:0016241]; retrograde transport, endosome to Golgi [GO:0042147]; vesicle organization [GO:0016050]","GO:0005622; GO:0005634; GO:0005737; GO:0005829; GO:0006886; GO:0006897; GO:0007175; GO:0016023; GO:0016050; GO:0016241; GO:0019898; GO:0030512; GO:0030904; GO:0030905; GO:0031901; GO:0034452; GO:0035091; GO:0042147; GO:0042803; GO:0045892; GO:0046982; GO:0097422","0","PF00787;PF09325;"
"CHOYP_BRAFLDRAFT_78229.1.1|m.52210","Eelgrass-Bare",-1.17519465024963,0.871484212519064,-1.3484979227021,16,0.196278162492913,0.86344556610781,NA,0,0,"sp|Q9P2K2|TXD16_HUMAN","TXD16_HUMAN","Thioredoxin domain-containing protein 16","TXNDC16 KIAA1344","Homo sapiens (Human)","cell redox homeostasis [GO:0045454]","GO:0005788; GO:0045454; GO:0070062","0","PF00085;"
"CHOYP_BRAFLDRAFT_78683.2.4|m.31427","Eelgrass-Bare",-2.24655927686966,1.76588584803356,-1.27219960416545,13,0.225588022257841,0.868897206579436,NA,0.15,0,"sp|P57103|NAC3_HUMAN","NAC3_HUMAN","Sodium/calcium exchanger 3 (Na(+)/Ca(2+)-exchange protein 3) (Solute carrier family 8 member 3)","SLC8A3 NCX3","Homo sapiens (Human)","calcium ion export from cell [GO:1990034]; calcium ion import into cell [GO:1990035]; calcium ion transmembrane transport [GO:0070588]; calcium ion transport into cytosol [GO:0060402]; cell communication [GO:0007154]; cellular calcium ion homeostasis [GO:0006874]; cellular response to cAMP [GO:0071320]; cellular response to hypoxia [GO:0071456]; hematopoietic progenitor cell differentiation [GO:0002244]; ion transport [GO:0006811]; learning [GO:0007612]; long-term synaptic potentiation [GO:0060291]; memory [GO:0007613]; mitochondrial calcium ion homeostasis [GO:0051560]; mitochondrial calcium ion transport [GO:0006851]; myelination [GO:0042552]; oligodendrocyte differentiation [GO:0048709]; regulation of cardiac conduction [GO:1903779]; regulation of skeletal muscle contraction [GO:0014819]; sodium ion transmembrane transport [GO:0035725]; telencephalon development [GO:0021537]","GO:0002244; GO:0005432; GO:0005741; GO:0005789; GO:0005874; GO:0005886; GO:0005887; GO:0006811; GO:0006851; GO:0006874; GO:0007154; GO:0007612; GO:0007613; GO:0014819; GO:0016528; GO:0021537; GO:0030054; GO:0031226; GO:0031594; GO:0035725; GO:0042383; GO:0042552; GO:0043197; GO:0043204; GO:0046872; GO:0048471; GO:0048709; GO:0051560; GO:0060291; GO:0060402; GO:0070588; GO:0071320; GO:0071456; GO:1903779; GO:1990034; GO:1990035","0","PF03160;PF01699;PF16494;"
"CHOYP_BRAFLDRAFT_80496.6.10|m.29014","Eelgrass-Bare",-0.469212649279644,0.984321101398506,-0.476686569670197,16,0.640030409803236,0.980901306477288,NA,0.062962962962963,0.062962962962963,"sp|Q6DFV8|VWDE_MOUSE","VWDE_MOUSE","von Willebrand factor D and EGF domain-containing protein","Vwde Gm467","Mus musculus (Mouse)","0","GO:0005576","0","PF00094;"
"CHOYP_BRAFLDRAFT_81321.5.10|m.45062","Eelgrass-Bare",-1.31456195255078,0.342415165373048,-3.83908800043543,16,0.00144826631716821,0.4564072491689,NA,0.0142857142857142,0.0142857142857143,"sp|O22558|STY8_ARATH","STY8_ARATH","Serine/threonine-protein kinase STY8 (EC 2.7.11.1) (Serine/threonine/tyrosine-protein kinase 8)","STY8 At2g17700","Arabidopsis thaliana (Mouse-ear cress)","chloroplast organization [GO:0009658]","GO:0004674; GO:0004712; GO:0005524; GO:0005829; GO:0009658; GO:0016597","0","PF07714;"
"CHOYP_BRAFLDRAFT_81509.1.1|m.31565","Eelgrass-Bare",-0.482600656975416,0.998248271348392,-0.48344752585801,16,0.635327432190189,0.979975485458953,NA,0.05,0.05,"sp|Q9BDK2|AIF1_BOVIN","AIF1_BOVIN","Allograft inflammatory factor 1 (AIF-1)","AIF1","Bos taurus (Bovine)","actin filament bundle assembly [GO:0051017]; actin filament polymerization [GO:0030041]; cellular response to interferon-gamma [GO:0071346]; inflammatory response [GO:0006954]; negative regulation of smooth muscle cell chemotaxis [GO:0071672]; negative regulation of smooth muscle cell proliferation [GO:0048662]; phagocytosis, engulfment [GO:0006911]; positive regulation of G1/S transition of mitotic cell cycle [GO:1900087]; positive regulation of monocyte chemotaxis [GO:0090026]; positive regulation of smooth muscle cell chemotaxis [GO:0071673]; positive regulation of smooth muscle cell proliferation [GO:0048661]; positive regulation of T cell migration [GO:2000406]; positive regulation of T cell proliferation [GO:0042102]; Rac protein signal transduction [GO:0016601]; ruffle assembly [GO:0097178]","GO:0001891; GO:0005509; GO:0005634; GO:0005737; GO:0005829; GO:0005884; GO:0006911; GO:0006954; GO:0016601; GO:0030027; GO:0030041; GO:0032587; GO:0042102; GO:0048471; GO:0048661; GO:0048662; GO:0051015; GO:0051017; GO:0071346; GO:0071672; GO:0071673; GO:0090026; GO:0097178; GO:1900087; GO:2000406","0","0"
"CHOYP_BRAFLDRAFT_81609.1.1|m.94","Eelgrass-Bare",0.118183735378329,0.315573318865824,0.374504840279539,16,0.712945910246806,0.98810540699643,NA,0,0,"sp|Q9Y6N5|SQRD_HUMAN","SQRD_HUMAN","Sulfide:quinone oxidoreductase, mitochondrial (SQOR) (EC 1.8.5.-)","SQRDL CGI-44","Homo sapiens (Human)","hydrogen sulfide metabolic process [GO:0070813]; sulfide oxidation, using sulfide:quinone oxidoreductase [GO:0070221]","GO:0005743; GO:0048038; GO:0070221; GO:0070224; GO:0070813","0","PF07992;"
"CHOYP_BRAFLDRAFT_82353.1.1|m.13454","Eelgrass-Bare",1.71070071163144,1.09310794645139,1.56498790186731,16,0.137147225296274,0.854358147564395,NA,0.05,0.05,"sp|Q9D4D4|TKTL2_MOUSE","TKTL2_MOUSE","Transketolase-like protein 2 (EC 2.2.1.1)","Tktl2","Mus musculus (Mouse)","metabolic process [GO:0008152]","GO:0004802; GO:0005737; GO:0008152; GO:0046872","0","PF02779;PF02780;PF00456;"
"CHOYP_BRAFLDRAFT_83012.2.2|m.61619","Eelgrass-Bare",0.0559908360845071,1.12826371536773,0.0496256640374702,14,0.961121746857337,0.99983025867803,NA,0.1,0,"sp|Q9I925|FUCL7_ANGJA","FUCL7_ANGJA","Fucolectin-7","0","Anguilla japonica (Japanese eel)","regulation of cellular defense response [GO:0010185]; regulation of complement activation, lectin pathway [GO:0001868]; regulation of innate immune response [GO:0045088]","GO:0001868; GO:0005509; GO:0005615; GO:0010185; GO:0030246; GO:0042806; GO:0045088","0","PF00754;"
"CHOYP_BRAFLDRAFT_83552.1.1|m.55255","Eelgrass-Bare",0.137324703409543,0.727410627388906,0.188785671034915,16,0.852634636407645,0.994769849747695,NA,0,0,"sp|Q704S8|CACP_RAT","CACP_RAT","Carnitine O-acetyltransferase (Carnitine acetylase) (EC 2.3.1.7) (Carnitine acetyltransferase) (CAT) (CrAT)","Crat","Rattus norvegicus (Rat)","fatty acid metabolic process [GO:0006631]; transport [GO:0006810]","GO:0004092; GO:0005739; GO:0005743; GO:0005777; GO:0005783; GO:0006631; GO:0006810","0","PF00755;"
"CHOYP_BRAFLDRAFT_83656.1.1|m.25491","Eelgrass-Bare",-1.43594346928314,1.72104337700302,-0.83434472859345,12,0.420386316941968,0.942060864972504,NA,0.2,0,"sp|Q80YX1|TENA_MOUSE","TENA_MOUSE","Tenascin (TN) (Hexabrachion) (Tenascin-C) (TN-C)","Tnc Hxb","Mus musculus (Mouse)","bud outgrowth involved in lung branching [GO:0060447]; cell adhesion [GO:0007155]; cellular response to prostaglandin D stimulus [GO:0071799]; cellular response to retinoic acid [GO:0071300]; cellular response to vitamin D [GO:0071305]; mesenchymal-epithelial cell signaling involved in prostate gland development [GO:0060739]; negative regulation of cell adhesion [GO:0007162]; neuromuscular junction development [GO:0007528]; odontogenesis of dentin-containing tooth [GO:0042475]; osteoblast differentiation [GO:0001649]; peripheral nervous system axon regeneration [GO:0014012]; positive regulation of cell proliferation [GO:0008284]; positive regulation of gene expression [GO:0010628]; prostate gland epithelium morphogenesis [GO:0060740]; response to ethanol [GO:0045471]; response to fibroblast growth factor [GO:0071774]; response to mechanical stimulus [GO:0009612]; wound healing [GO:0042060]","GO:0001649; GO:0001968; GO:0005576; GO:0005604; GO:0005614; GO:0005615; GO:0005925; GO:0007155; GO:0007162; GO:0007528; GO:0008284; GO:0009612; GO:0010628; GO:0014012; GO:0016020; GO:0031012; GO:0042060; GO:0042475; GO:0045471; GO:0045545; GO:0060447; GO:0060739; GO:0060740; GO:0071300; GO:0071305; GO:0071774; GO:0071799","0","PF07974;PF00147;PF00041;"
"CHOYP_BRAFLDRAFT_83826.1.1|m.62225","Eelgrass-Bare",-0.194617241157803,0.867189078448707,-0.224423076805752,16,0.825268949189689,0.994769849747695,NA,0,0,"sp|Q6PCJ1|DCTN1_XENLA","DCTN1_XENLA","Dynactin subunit 1","dctn1","Xenopus laevis (African clawed frog)","cytoplasmic microtubule organization [GO:0031122]; establishment of localization by movement along microtubule [GO:0010970]; positive regulation of intracellular protein transport [GO:0090316]","GO:0003774; GO:0005737; GO:0005813; GO:0005869; GO:0005874; GO:0010970; GO:0030286; GO:0031122; GO:0090316","0","PF01302;PF12455;"
"CHOYP_BRAFLDRAFT_84005.1.1|m.16821","Eelgrass-Bare",-0.721106517645137,0.574629463920005,-1.25490696687548,16,0.22753365031817,0.868897206579436,NA,0,0,"sp|Q6NZ07|NCLN_DANRE","NCLN_DANRE","Nicalin-1 (Nicastrin-like protein 1)","ncl1","Danio rerio (Zebrafish) (Brachydanio rerio)","multicellular organism development [GO:0007275]; negative regulation of nodal signaling pathway involved in determination of lateral mesoderm left/right asymmetry [GO:1900176]; regulation of signal transduction [GO:0009966]","GO:0005789; GO:0005886; GO:0007275; GO:0009966; GO:0016021; GO:1900176","0","PF04389;"
"CHOYP_BRAFLDRAFT_84237.1.1|m.1879","Eelgrass-Bare",-0.178465064525401,0.805494761555795,-0.221559559469635,14,0.827855883571252,0.994769849747695,NA,0.1,0,"sp|Q9BQG0|MBB1A_HUMAN","MBB1A_HUMAN","Myb-binding protein 1A","MYBBP1A P160","Homo sapiens (Human)","cellular response to glucose starvation [GO:0042149]; circadian regulation of gene expression [GO:0032922]; intrinsic apoptotic signaling pathway by p53 class mediator [GO:0072332]; negative regulation of transcription, DNA-templated [GO:0045892]; nucleocytoplasmic transport [GO:0006913]; osteoblast differentiation [GO:0001649]; positive regulation of anoikis [GO:2000210]; positive regulation of cell cycle arrest [GO:0071158]; positive regulation of gene expression, epigenetic [GO:0045815]; regulation of transcription, DNA-templated [GO:0006355]; respiratory electron transport chain [GO:0022904]; transcription, DNA-templated [GO:0006351]","GO:0001047; GO:0001649; GO:0003714; GO:0003887; GO:0005634; GO:0005654; GO:0005730; GO:0005737; GO:0006351; GO:0006355; GO:0006913; GO:0008134; GO:0016020; GO:0022904; GO:0032922; GO:0042149; GO:0042564; GO:0043231; GO:0043565; GO:0044822; GO:0045815; GO:0045892; GO:0071158; GO:0072332; GO:2000210","0","PF04931;"
"CHOYP_BRAFLDRAFT_85822.1.1|m.10102","Eelgrass-Bare",0.584251652119434,1.237678569347,0.472054430438823,16,0.643261756385638,0.982880582300845,NA,0,0,"sp|Q9CWK3|CD2B2_MOUSE","CD2B2_MOUSE","CD2 antigen cytoplasmic tail-binding protein 2 (CD2 cytoplasmic domain-binding protein 2) (CD2 tail-binding protein 2)","Cd2bp2","Mus musculus (Mouse)","mRNA processing [GO:0006397]; negative regulation of phosphatase activity [GO:0010923]; RNA splicing [GO:0008380]","GO:0005634; GO:0005654; GO:0005682; GO:0005737; GO:0006397; GO:0008380; GO:0010923; GO:0016607; GO:0043021","0","PF02213;"
"CHOYP_BRAFLDRAFT_86052.1.1|m.25460","Eelgrass-Bare",0.121969401295826,0.982313681597017,0.12416543063671,16,0.902730815777621,0.994769849747695,NA,0,0,"sp|Q9CYL5|GAPR1_MOUSE","GAPR1_MOUSE","Golgi-associated plant pathogenesis-related protein 1 (GAPR-1) (Golgi-associated PR-1 protein) (Glioma pathogenesis-related protein 2) (GliPR 2)","Glipr2 Gapr1","Mus musculus (Mouse)","positive regulation of epithelial cell migration [GO:0010634]; positive regulation of epithelial to mesenchymal transition [GO:0010718]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]","GO:0000139; GO:0010634; GO:0010718; GO:0042803; GO:0070062; GO:0070374","0","PF00188;"
"CHOYP_BRAFLDRAFT_86061.7.13|m.50940","Eelgrass-Bare",0.883385146786734,1.04212264884086,0.847678675604367,13,0.411952284333918,0.942060864972504,NA,0.15,0,"sp|D8VNT0|FCNV4_CERRY","FCNV4_CERRY","Ryncolin-4","0","Cerberus rynchops (Dog-faced water snake)","0","GO:0005576","0","PF01391;PF00147;"
"CHOYP_BRAFLDRAFT_86801.1.1|m.27107","Eelgrass-Bare",0.425469444496059,0.710641830001606,0.598711511951243,16,0.557747268438183,0.979591620635068,NA,0.0125,0.0125,"sp|E9PV24|FIBA_MOUSE","FIBA_MOUSE","Fibrinogen alpha chain [Cleaved into: Fibrinopeptide A; Fibrinogen alpha chain]","Fga","Mus musculus (Mouse)","acute-phase response [GO:0006953]; adaptive immune response [GO:0002250]; blood coagulation [GO:0007596]; blood coagulation, common pathway [GO:0072377]; blood coagulation, fibrin clot formation [GO:0072378]; cell-matrix adhesion [GO:0007160]; cellular protein complex assembly [GO:0043623]; cellular response to granulocyte colony-stimulating factor [GO:1990643]; cellular response to interleukin-6 [GO:0071354]; cellular response to organic cyclic compound [GO:0071407]; fibrinolysis [GO:0042730]; induction of bacterial agglutination [GO:0043152]; innate immune response [GO:0045087]; liver regeneration [GO:0097421]; negative regulation of endothelial cell apoptotic process [GO:2000352]; negative regulation of extrinsic apoptotic signaling pathway via death domain receptors [GO:1902042]; plasminogen activation [GO:0031639]; platelet aggregation [GO:0070527]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of exocytosis [GO:0045921]; positive regulation of heterotypic cell-cell adhesion [GO:0034116]; positive regulation of peptide hormone secretion [GO:0090277]; positive regulation of protein secretion [GO:0050714]; positive regulation of vasoconstriction [GO:0045907]; protein complex assembly [GO:0006461]; protein polymerization [GO:0051258]; response to calcium ion [GO:0051592]; response to cycloheximide [GO:0046898]; response to estradiol [GO:0032355]; response to genistein [GO:0033595]; response to morphine [GO:0043278]; signal transduction [GO:0007165]","GO:0002250; GO:0005198; GO:0005577; GO:0005615; GO:0005791; GO:0005938; GO:0006461; GO:0006953; GO:0007160; GO:0007165; GO:0007596; GO:0009897; GO:0009986; GO:0031091; GO:0031639; GO:0032355; GO:0033595; GO:0034116; GO:0042730; GO:0043152; GO:0043278; GO:0043623; GO:0045087; GO:0045907; GO:0045921; GO:0046872; GO:0046898; GO:0050714; GO:0051258; GO:0051592; GO:0070062; GO:0070374; GO:0070527; GO:0071354; GO:0071407; GO:0072377; GO:0072378; GO:0072562; GO:0090277; GO:0097421; GO:1902042; GO:1903561; GO:1990643; GO:2000352","0","PF08702;PF12160;PF00147;"
"CHOYP_BRAFLDRAFT_87511.1.1|m.40371","Eelgrass-Bare",-0.449001126197118,0.888814964551443,-0.505168279230891,16,0.620327845493354,0.979591620635068,NA,0,0,"sp|Q9BPU9|B9D2_HUMAN","B9D2_HUMAN","B9 domain-containing protein 2 (MKS1-related protein 2)","B9D2 MKSR2","Homo sapiens (Human)","cilium assembly [GO:0042384]; sister chromatid cohesion [GO:0007062]","GO:0005634; GO:0005813; GO:0005829; GO:0007062; GO:0016020; GO:0036038; GO:0036064; GO:0042384; GO:0043015","0","PF07162;"
"CHOYP_BRAFLDRAFT_87838.1.1|m.66264","Eelgrass-Bare",-1.58401836465712,0.987411555531203,-1.60421290978812,16,0.128221651894733,0.851546109458308,NA,0,0,"sp|Q8TCT9|HM13_HUMAN","HM13_HUMAN","Minor histocompatibility antigen H13 (EC 3.4.23.-) (Intramembrane protease 1) (IMP-1) (IMPAS-1) (hIMP1) (Presenilin-like protein 3) (Signal peptide peptidase)","HM13 H13 IMP1 PSL3 SPP MSTP086","Homo sapiens (Human)","membrane protein proteolysis [GO:0033619]; membrane protein proteolysis involved in retrograde protein transport, ER to cytosol [GO:1904211]; protein homotetramerization [GO:0051289]; signal peptide processing [GO:0006465]","GO:0005765; GO:0005783; GO:0005789; GO:0005791; GO:0005886; GO:0006465; GO:0008233; GO:0009986; GO:0016020; GO:0030660; GO:0031625; GO:0033619; GO:0036513; GO:0042500; GO:0042803; GO:0051289; GO:0071458; GO:0071556; GO:1904211","0","PF04258;"
"CHOYP_BRAFLDRAFT_88223.18.22|m.60188","Eelgrass-Bare",-1.83651464984199,0.614393449752794,-2.98915076419016,16,0.0086735436618679,0.74880879265934,NA,0,0,"sp|Q9ESN6|TRIM2_MOUSE","TRIM2_MOUSE","Tripartite motif-containing protein 2 (EC 6.3.2.-) (E3 ubiquitin-protein ligase TRIM2) (Neural activity-related RING finger protein)","Trim2 Kiaa0517 Narf","Mus musculus (Mouse)","regulation of neuron apoptotic process [GO:0043523]","GO:0004842; GO:0005737; GO:0008270; GO:0016874; GO:0017022; GO:0043523; GO:0061630","PATHWAY: Protein modification; protein ubiquitination.","PF00630;PF01436;PF00643;PF13445;"
"CHOYP_BRAFLDRAFT_88228.1.1|m.51515","Eelgrass-Bare",-1.1819873780735,1.62291515059583,-0.728311259919872,16,0.476948032357433,0.967872444534173,NA,0.0166666666666667,0.0166666666666667,"sp|Q9I925|FUCL7_ANGJA","FUCL7_ANGJA","Fucolectin-7","0","Anguilla japonica (Japanese eel)","regulation of cellular defense response [GO:0010185]; regulation of complement activation, lectin pathway [GO:0001868]; regulation of innate immune response [GO:0045088]","GO:0001868; GO:0005509; GO:0005615; GO:0010185; GO:0030246; GO:0042806; GO:0045088","0","PF00754;"
"CHOYP_BRAFLDRAFT_88556.1.1|m.50506","Eelgrass-Bare",1.2670524454632,0.390930704833462,3.24111774746107,16,0.00511573029922729,0.667137737658323,NA,0,0,"sp|Q9D3P8|PLRKT_MOUSE","PLRKT_MOUSE","Plasminogen receptor (KT) (Plg-R(KT))","Plgrkt","Mus musculus (Mouse)","chemotaxis [GO:0006935]; inflammatory response [GO:0006954]; positive regulation of plasminogen activation [GO:0010756]","GO:0005739; GO:0005887; GO:0006935; GO:0006954; GO:0010756","0","PF10166;"
"CHOYP_BRAFLDRAFT_89362.1.1|m.49683","Eelgrass-Bare",0.0825369852239475,0.915032029494226,0.0902011979510367,12,0.929615430716807,0.994769849747695,NA,0.2,0,"sp|A2VDN6|SF3A1_BOVIN","SF3A1_BOVIN","Splicing factor 3A subunit 1","SF3A1","Bos taurus (Bovine)","mRNA 3'-splice site recognition [GO:0000389]; mRNA splicing, via spliceosome [GO:0000398]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]","GO:0000381; GO:0000389; GO:0000398; GO:0003723; GO:0005654; GO:0005684; GO:0005686; GO:0044822; GO:0071004; GO:0071013","0","PF12230;PF01805;PF00240;"
"CHOYP_BRAFLDRAFT_89535.1.1|m.6232","Eelgrass-Bare",-0.316206480212588,0.578016636514601,-0.54705428916249,16,0.591890448234132,0.979591620635068,NA,0,0,"sp|Q8C4B4|U119B_MOUSE","U119B_MOUSE","Protein unc-119 homolog B","Unc119b","Mus musculus (Mouse)","cilium morphogenesis [GO:0060271]; lipoprotein transport [GO:0042953]; protein transport [GO:0015031]","GO:0008289; GO:0015031; GO:0035869; GO:0042953; GO:0060271","0","PF05351;"
"CHOYP_BRAFLDRAFT_89869.1.3|m.28871","Eelgrass-Bare",0.381668419321812,0.769302806364253,0.496122484104261,16,0.626554056067522,0.979591620635068,NA,0.05,0.05,"sp|B2IZD3|BDLP_NOSP7","BDLP_NOSP7","Bacterial dynamin-like protein (BDLP) (EC 3.6.5.5)","Npun_R6513","Nostoc punctiforme (strain ATCC 29133 / PCC 73102)","0","GO:0003924; GO:0005525; GO:0005886; GO:0008289; GO:0016021","0","PF00350;"
"CHOYP_BRAFLDRAFT_89870.1.1|m.15447","Eelgrass-Bare",-1.06017328641962,0.89732239938786,-1.18148536929742,16,0.254673859139426,0.877281970641812,NA,0,0,"sp|B2IZD3|BDLP_NOSP7","BDLP_NOSP7","Bacterial dynamin-like protein (BDLP) (EC 3.6.5.5)","Npun_R6513","Nostoc punctiforme (strain ATCC 29133 / PCC 73102)","0","GO:0003924; GO:0005525; GO:0005886; GO:0008289; GO:0016021","0","PF00350;"
"CHOYP_BRAFLDRAFT_90098.1.4|m.3841","Eelgrass-Bare",-0.163946362575268,0.843081469595231,-0.194460877729859,16,0.848262662844603,0.994769849747695,NA,0,0,"sp|Q5M8Z0|BHMT1_XENTR","BHMT1_XENTR","Betaine--homocysteine S-methyltransferase 1 (EC 2.1.1.5)","bhmt","Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)","amino-acid betaine catabolic process [GO:0006579]; methionine biosynthetic process [GO:0009086]","GO:0005829; GO:0006579; GO:0008270; GO:0008898; GO:0009086; GO:0047150","PATHWAY: Amine and polyamine degradation; betaine degradation; sarcosine from betaine: step 1/2.; PATHWAY: Amino-acid biosynthesis; L-methionine biosynthesis via de novo pathway; L-methionine from L-homocysteine (BhmT route): step 1/1.","PF02574;"
"CHOYP_BRAFLDRAFT_90098.4.4|m.28113","Eelgrass-Bare",1.87726846757354,0.722246198933032,2.599208511373,16,0.0193719254553235,0.786895644121482,NA,0,0,"sp|Q5RF32|BHMT2_PONAB","BHMT2_PONAB","S-methylmethionine--homocysteine S-methyltransferase BHMT2 (SMM-hcy methyltransferase) (EC 2.1.1.10) (Betaine--homocysteine S-methyltransferase 2)","BHMT2","Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)","methionine biosynthetic process [GO:0009086]","GO:0005737; GO:0008270; GO:0009086; GO:0047150","PATHWAY: Amino-acid biosynthesis; L-methionine biosynthesis via de novo pathway; L-methionine from L-homocysteine (BhmT route): step 1/1.","PF02574;"
"CHOYP_BRAFLDRAFT_90332.3.4|m.18933","Eelgrass-Bare",-2.42834980464202,1.14026087846504,-2.12964405821844,15,0.0501709119088281,0.786895644121482,NA,0.15,0.1,"sp|Q8C6K9|CO6A6_MOUSE","CO6A6_MOUSE","Collagen alpha-6(VI) chain","Col6a6","Mus musculus (Mouse)","cell adhesion [GO:0007155]","GO:0005576; GO:0005578; GO:0005581; GO:0007155","0","PF01391;PF00092;"
"CHOYP_BRAFLDRAFT_90953.1.1|m.48786","Eelgrass-Bare",-0.783580628194773,0.551180593020933,-1.42164045344937,16,0.174330082921291,0.86344556610781,NA,0,0,"sp|P51570|GALK1_HUMAN","GALK1_HUMAN","Galactokinase (EC 2.7.1.6) (Galactose kinase)","GALK1 GALK","Homo sapiens (Human)","galactitol metabolic process [GO:0019402]; galactose catabolic process [GO:0019388]; galactose metabolic process [GO:0006012]; glycolytic process from galactose [GO:0061623]","GO:0004335; GO:0005524; GO:0005534; GO:0005737; GO:0005829; GO:0006012; GO:0016020; GO:0019388; GO:0019402; GO:0061623; GO:0070062","PATHWAY: Carbohydrate metabolism; galactose metabolism.","PF10509;PF08544;PF00288;"
