Protein,Label,adj.pvalue,accession,interesting,Annotation.x,Species.x,BiologicalProcess.x,GOTerms,C1,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,Evalue,C14,C15,reviewed,Annotation.y,C18,Species.y,C20,BiologicalProcess.y,GOTerm,Pathway,C24,C25,C26
CHOYP_LOC100150876.1.1|m.61100,EelgrassFB-EelgrassSK,0.001227546,sp|Q96NN9|AIFM3_HUMAN,x,Apoptosis-inducing factor 3 (EC 1.-.-.-) (Apoptosis-inducing factor-like protein),Homo sapiens (Human),cell redox homeostasis [GO:0045454]; execution phase of apoptosis [GO:0097194],GO:0005739; GO:0005743; GO:0005783; GO:0016491; GO:0045454; GO:0046872; GO:0050660; GO:0051537; GO:0097194,Q96NN9,sp,AIFM3_HUMAN,46.024,591,301,3,227,812,9,586,0,574,AIFM3_HUMAN,reviewed,Apoptosis-inducing factor 3 (EC 1.-.-.-) (Apoptosis-inducing factor-like protein),AIFM3 AIFL,Homo sapiens (Human),605,cell redox homeostasis [GO:0045454]; execution phase of apoptosis [GO:0097194],GO:0005739; GO:0005743; GO:0005783; GO:0016491; GO:0045454; GO:0046872; GO:0050660; GO:0051537; GO:0097194,0,0,0,PF07992;PF14759;PF00355;
CHOYP_BRAFLDRAFT_241420.1.1|m.61408,BareFB-BareSK,0.389014076,sp|Q8CG72|ARHL2_MOUSE,,Poly(ADP-ribose) glycohydrolase ARH3 (EC 3.2.1.143) (ADP-ribosylhydrolase 3) ([Protein ADP-ribosylarginine] hydrolase-like protein 2),Mus musculus (Mouse),cellular response to superoxide [GO:0071451],GO:0004649; GO:0005634; GO:0005654; GO:0005737; GO:0005739; GO:0005759; GO:0046872; GO:0071451,Q8CG72,sp,ARHL2_MOUSE,40.379,369,190,8,19,386,26,365,1.00E-81,1149,PSA_MOUSE,reviewed,Puromycin-sensitive aminopeptidase (PSA) (EC 3.4.11.14) (Cytosol alanyl aminopeptidase) (AAP-S),Npepps Psa,Mus musculus (Mouse),920,cellular response to hypoxia [GO:0071456]; peptide catabolic process [GO:0043171]; positive regulation of protein targeting to mitochondrion [GO:1903955]; proteolysis [GO:0006508],GO:0004177; GO:0005634; GO:0005737; GO:0005829; GO:0005886; GO:0006508; GO:0008270; GO:0042277; GO:0043171; GO:0070006; GO:0070062; GO:0071456; GO:1903955,0,0,0,PF11838;PF01433;
CHOYP_BRAFLDRAFT_282105.1.2|m.43460,EelgrassSK-EelgrassWB,0.252700467,sp|Q94CF0|EHD1_ARATH,,EH domain-containing protein 1 (AtEHD1) (EC 3.6.5.2),Arabidopsis thaliana (Mouse-ear cress),endocytic recycling [GO:0032456]; endocytosis [GO:0006897]; hyperosmotic salinity response [GO:0042538]; protein homooligomerization [GO:0051260],GO:0005509; GO:0005525; GO:0005737; GO:0005768; GO:0005886; GO:0006897; GO:0009506; GO:0010008; GO:0016020; GO:0016787; GO:0032456; GO:0042538; GO:0043231; GO:0051260,Q94CF0,sp,EHD1_ARATH,26.368,201,128,7,89,276,197,390,2.23E-08,187,CAH2_MOUSE,reviewed,Carbonic anhydrase 2 (EC 4.2.1.1) (Carbonate dehydratase II) (Carbonic anhydrase II) (CA-II),Ca2 Car2,Mus musculus (Mouse),260,"angiotensin-activated signaling pathway [GO:0038166]; carbon dioxide transport [GO:0015670]; cellular response to fluid shear stress [GO:0071498]; kidney development [GO:0001822]; morphogenesis of an epithelium [GO:0002009]; odontogenesis of dentin-containing tooth [GO:0042475]; one-carbon metabolic process [GO:0006730]; positive regulation of bone resorption [GO:0045780]; positive regulation of cellular pH reduction [GO:0032849]; positive regulation of dipeptide transmembrane transport [GO:2001150]; positive regulation of osteoclast differentiation [GO:0045672]; positive regulation of synaptic transmission, GABAergic [GO:0032230]; regulation of anion transport [GO:0044070]; regulation of chloride transport [GO:2001225]; regulation of intracellular pH [GO:0051453]; regulation of pH [GO:0006885]; response to estrogen [GO:0043627]; response to pH [GO:0009268]; response to steroid hormone [GO:0048545]; response to zinc ion [GO:0010043]; secretion [GO:0046903]",GO:0001822; GO:0002009; GO:0004064; GO:0004089; GO:0005615; GO:0005737; GO:0005829; GO:0005886; GO:0005902; GO:0006730; GO:0006885; GO:0008270; GO:0009268; GO:0010043; GO:0015670; GO:0016323; GO:0030424; GO:0032230; GO:0032849; GO:0038166; GO:0042475; GO:0043209; GO:0043627; GO:0044070; GO:0045177; GO:0045672; GO:0045780; GO:0046903; GO:0048545; GO:0051453; GO:0070062; GO:0071498; GO:2001150; GO:2001225,0,0,0,PF00194;
CHOYP_BRAFLDRAFT_68934.2.2|m.62964,BareCI-BareSK,0.213270781,sp|O09164|SODE_MOUSE,,Extracellular superoxide dismutase [Cu-Zn] (EC-SOD) (EC 1.15.1.1),Mus musculus (Mouse),response to copper ion [GO:0046688]; response to hypoxia [GO:0001666]; response to reactive oxygen species [GO:0000302],GO:0000302; GO:0001666; GO:0004784; GO:0005507; GO:0005615; GO:0005634; GO:0005796; GO:0005802; GO:0008270; GO:0031012; GO:0046688; GO:0070062,O09164,sp,SODE_MOUSE,30.682,88,57,3,1,87,79,163,1.81E-06,49.7,FUCL7_ANGJA,reviewed,Fucolectin-7,0,Anguilla japonica (Japanese eel),189,"regulation of cellular defense response [GO:0010185]; regulation of complement activation, lectin pathway [GO:0001868]; regulation of innate immune response [GO:0045088]",GO:0001868; GO:0005509; GO:0005615; GO:0010185; GO:0030246; GO:0042806; GO:0045088,0,0,0,PF00754;
CHOYP_BRAFLDRAFT_78229.1.1|m.52210,EelgrassPG-EelgrassWB,0.047604837,sp|Q9P2K2|TXD16_HUMAN,,Thioredoxin domain-containing protein 16,Homo sapiens (Human),cell redox homeostasis [GO:0045454],GO:0005788; GO:0045454; GO:0070062,Q9P2K2,sp,TXD16_HUMAN,25.065,770,519,22,55,816,46,765,5.45E-55,343,GGT1_RAT,reviewed,Gamma-glutamyltranspeptidase 1 (GGT 1) (EC 2.3.2.2) (Gamma-glutamyltransferase 1) (Glutathione hydrolase 1) (EC 3.4.19.13) (Leukotriene-C4 hydrolase) (EC 3.4.19.14) (CD antigen CD224) [Cleaved into: Gamma-glutamyltranspeptidase 1 heavy chain; Gamma-glutamyltranspeptidase 1 light chain],Ggt1 Ggt,Rattus norvegicus (Rat),568,aging [GO:0007568]; cellular response to oxidative stress [GO:0034599]; glutamate metabolic process [GO:0006536]; glutathione biosynthetic process [GO:0006750]; glutathione catabolic process [GO:0006751]; peptide modification [GO:0031179]; response to estradiol [GO:0032355]; response to lipopolysaccharide [GO:0032496]; response to tumor necrosis factor [GO:0034612]; zymogen activation [GO:0031638],GO:0003840; GO:0005615; GO:0005886; GO:0005887; GO:0006536; GO:0006750; GO:0006751; GO:0007568; GO:0031179; GO:0031638; GO:0032355; GO:0032496; GO:0034599; GO:0034612; GO:0036374,PATHWAY: Sulfur metabolism; glutathione metabolism.,0,0,PF01019;
CHOYP_BRAFLDRAFT_78683.2.4|m.31427,BareFB-BareWB,0,sp|P57103|NAC3_HUMAN,,Sodium/calcium exchanger 3 (Na(+)/Ca(2+)-exchange protein 3) (Solute carrier family 8 member 3),Homo sapiens (Human),calcium ion export from cell [GO:1990034]; calcium ion import into cell [GO:1990035]; calcium ion transmembrane transport [GO:0070588]; calcium ion transport into cytosol [GO:0060402]; cell communication [GO:0007154]; cellular calcium ion homeostasis [GO:0006874]; cellular response to cAMP [GO:0071320]; cellular response to hypoxia [GO:0071456]; hematopoietic progenitor cell differentiation [GO:0002244]; ion transport [GO:0006811]; learning [GO:0007612]; long-term synaptic potentiation [GO:0060291]; memory [GO:0007613]; mitochondrial calcium ion homeostasis [GO:0051560]; mitochondrial calcium ion transport [GO:0006851]; myelination [GO:0042552]; oligodendrocyte differentiation [GO:0048709]; regulation of cardiac conduction [GO:1903779]; regulation of skeletal muscle contraction [GO:0014819]; sodium ion transmembrane transport [GO:0035725]; telencephalon development [GO:0021537],GO:0002244; GO:0005432; GO:0005741; GO:0005789; GO:0005874; GO:0005886; GO:0005887; GO:0006811; GO:0006851; GO:0006874; GO:0007154; GO:0007612; GO:0007613; GO:0014819; GO:0016528; GO:0021537; GO:0030054; GO:0031226; GO:0031594; GO:0035725; GO:0042383; GO:0042552; GO:0043197; GO:0043204; GO:0046872; GO:0048471; GO:0048709; GO:0051560; GO:0060291; GO:0060402; GO:0070588; GO:0071320; GO:0071456; GO:1903779; GO:1990034; GO:1990035,P57103,sp,NAC3_HUMAN,32.457,989,474,29,20,930,49,921,7.25E-136,301,NDUS8_PONAB,reviewed,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial (EC 1.6.5.3) (EC 1.6.99.3) (Complex I-23kD) (CI-23kD) (NADH-ubiquinone oxidoreductase 23 kDa subunit)",NDUFS8,Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii),210,mitochondrial respiratory chain complex I assembly [GO:0032981]; response to oxidative stress [GO:0006979],GO:0005739; GO:0005747; GO:0006979; GO:0008137; GO:0032981; GO:0046872; GO:0051539,0,0,0,PF12838;
CHOYP_BRAFLDRAFT_81609.1.1|m.94,BareCI-BareFB,0.015645687,sp|Q9Y6N5|SQRD_HUMAN,,"Sulfide:quinone oxidoreductase, mitochondrial (SQOR) (EC 1.8.5.-)",Homo sapiens (Human),"hydrogen sulfide metabolic process [GO:0070813]; sulfide oxidation, using sulfide:quinone oxidoreductase [GO:0070221]",GO:0005743; GO:0048038; GO:0070221; GO:0070224; GO:0070813,Q9Y6N5,sp,SQRD_HUMAN,52.899,414,192,3,31,443,39,450,7.96E-165,474,SQRD_HUMAN,reviewed,"Sulfide:quinone oxidoreductase, mitochondrial (SQOR) (EC 1.8.5.-)",SQRDL CGI-44,Homo sapiens (Human),450,"hydrogen sulfide metabolic process [GO:0070813]; sulfide oxidation, using sulfide:quinone oxidoreductase [GO:0070221]",GO:0005743; GO:0048038; GO:0070221; GO:0070224; GO:0070813,0,0,0,PF07992;
CHOYP_BRAFLDRAFT_88228.1.1|m.51515,EelgrassPG-EelgrassSK,0.006469842,sp|Q9I925|FUCL7_ANGJA,,Fucolectin-7,Anguilla japonica (Japanese eel),"regulation of cellular defense response [GO:0010185]; regulation of complement activation, lectin pathway [GO:0001868]; regulation of innate immune response [GO:0045088]",GO:0001868; GO:0005509; GO:0005615; GO:0010185; GO:0030246; GO:0042806; GO:0045088,Q9I925,sp,FUCL7_ANGJA,29.126,103,67,3,72,170,83,183,1.21E-06,1189,MRP1_CHICK,reviewed,Multidrug resistance-associated protein 1 (ATP-binding cassette sub-family C member 1) (Leukotriene C(4) transporter) (LTC4 transporter),ABCC1 MRP1 RCJMB04_32d20,Gallus gallus (Chicken),1525,0,GO:0005524; GO:0005886; GO:0016021; GO:0042626,0,0,0,PF00664;PF00005;
CHOYP_BRAFLDRAFT_94906.1.1|m.59345,BareFB-BareSK,0.209546924,sp|P90994|DJ11_CAEEL,,Glutathione-independent glyoxalase DJR-1.1 (EC 4.2.1.130) (Protein DJ-1 homolog 1),Caenorhabditis elegans,cellular response to glyoxal [GO:0036471]; cellular response to hydrogen peroxide [GO:0070301]; cellular response to methylglyoxal [GO:0097238]; glycolate biosynthetic process [GO:0046295]; glyoxal catabolic process [GO:1903190]; methylglyoxal catabolic process to D-lactate via S-lactoyl-glutathione [GO:0019243]; negative regulation of neuron death [GO:1901215]; protein deglycosylation [GO:0006517]; protein repair [GO:0030091]; regulation of transcription from RNA polymerase II promoter [GO:0006357]; response to toxic substance [GO:0009636],GO:0003713; GO:0005634; GO:0005737; GO:0005829; GO:0006357; GO:0006517; GO:0009636; GO:0019172; GO:0019243; GO:0030091; GO:0036471; GO:0046295; GO:0070301; GO:0097238; GO:1901215; GO:1903190; GO:1990422,P90994,sp,DJ11_CAEEL,60.773,181,69,2,33,213,9,187,1.44E-70,472,MRP1_HUMAN,reviewed,Multidrug resistance-associated protein 1 (ATP-binding cassette sub-family C member 1) (Leukotriene C(4) transporter) (LTC4 transporter),ABCC1 MRP MRP1,Homo sapiens (Human),1531,cobalamin metabolic process [GO:0009235]; leukotriene metabolic process [GO:0006691]; response to drug [GO:0042493]; transmembrane transport [GO:0055085]; transport [GO:0006810],GO:0005215; GO:0005524; GO:0005886; GO:0005887; GO:0006691; GO:0006810; GO:0009235; GO:0015420; GO:0016020; GO:0016323; GO:0016887; GO:0042493; GO:0042626; GO:0043225; GO:0055085; GO:0070062,0,0,0,PF00664;PF00005;
CHOYP_CATA.1.3|m.11120,BareFB-BareSK,0.033534055,sp|Q9PWF7|CATA_RUGRU,,Catalase (EC 1.11.1.6),Rugosa rugosa (Japanese wrinkled frog) (Glandirana rugosa),hydrogen peroxide catabolic process [GO:0042744]; response to oxidative stress [GO:0006979],GO:0004096; GO:0005777; GO:0006979; GO:0020037; GO:0042744; GO:0046872,Q9PWF7,sp,CATA_RUGRU,66.794,262,86,1,44,305,238,498,1.91E-124,369,CATA_RUGRU,reviewed,Catalase (EC 1.11.1.6),cat,Rugosa rugosa (Japanese wrinkled frog) (Glandirana rugosa),528,hydrogen peroxide catabolic process [GO:0042744]; response to oxidative stress [GO:0006979],GO:0004096; GO:0005777; GO:0006979; GO:0020037; GO:0042744; GO:0046872,0,0,0,PF00199;PF06628;
CHOYP_CATA.3.3|m.21642,EelgrassSK-EelgrassWB,0.398801527,sp|Q9PWF7|CATA_RUGRU,,Catalase (EC 1.11.1.6),Rugosa rugosa (Japanese wrinkled frog) (Glandirana rugosa),hydrogen peroxide catabolic process [GO:0042744]; response to oxidative stress [GO:0006979],GO:0004096; GO:0005777; GO:0006979; GO:0020037; GO:0042744; GO:0046872,Q9PWF7,sp,CATA_RUGRU,69.293,495,149,2,4,496,5,498,0,282,HS12A_HUMAN,reviewed,Heat shock 70 kDa protein 12A,HSPA12A KIAA0417,Homo sapiens (Human),675,0,GO:0005524; GO:0070062,0,0,0,0
CHOYP_CD209A.2.2|m.62956,BareFB-BareWB,0.060991135,sp|P86854|PLCL_MYTGA,,Perlucin-like protein,Mytilus galloprovincialis (Mediterranean mussel),0,GO:0005576; GO:0030246,P86854,sp,PLCL_MYTGA,33.333,156,99,4,10,162,3,156,1.88E-21,532,THIM_BOVIN,reviewed,"3-ketoacyl-CoA thiolase, mitochondrial (EC 2.3.1.16) (Acetyl-CoA acyltransferase) (Beta-ketothiolase) (Mitochondrial 3-oxoacyl-CoA thiolase)",ACAA2,Bos taurus (Bovine),397,cellular response to hypoxia [GO:0071456]; fatty acid metabolic process [GO:0006631]; negative regulation of mitochondrial membrane permeability involved in apoptotic process [GO:1902109]; negative regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway [GO:1901029],GO:0003988; GO:0005739; GO:0005743; GO:0006631; GO:0044822; GO:0070062; GO:0071456; GO:1901029; GO:1902109,PATHWAY: Lipid metabolism; fatty acid metabolism.,0,0,PF02803;PF00108;
CHOYP_CH60.1.1|m.26967,EelgrassCI-EelgrassFB,0.052668231,sp|O02649|CH60_DROME,,"60 kDa heat shock protein, mitochondrial (60 kDa chaperonin) (CPN60) (Heat shock protein 60) (HSP-60) (Hsp60) (Mitochondrial matrix protein P1)",Drosophila melanogaster (Fruit fly),cellular response to heat [GO:0034605]; mitochondrion organization [GO:0007005]; protein refolding [GO:0042026]; sleep [GO:0030431],GO:0005524; GO:0005739; GO:0005743; GO:0005759; GO:0005811; GO:0005875; GO:0007005; GO:0030431; GO:0034605; GO:0042026,O02649,sp,CH60_DROME,75.681,551,131,2,1,550,1,549,0,1381,NNTM_HUMAN,reviewed,"NAD(P) transhydrogenase, mitochondrial (EC 1.6.1.2) (Nicotinamide nucleotide transhydrogenase) (Pyridine nucleotide transhydrogenase)",NNT,Homo sapiens (Human),1086,cell redox homeostasis [GO:0045454]; NADPH regeneration [GO:0006740]; oxidation-reduction process [GO:0055114]; proton transport [GO:0015992]; reactive oxygen species metabolic process [GO:0072593]; tricarboxylic acid cycle [GO:0006099],GO:0003957; GO:0005739; GO:0005743; GO:0005746; GO:0006099; GO:0006740; GO:0008746; GO:0008750; GO:0015992; GO:0016020; GO:0016021; GO:0045454; GO:0050661; GO:0051287; GO:0055114; GO:0072593,0,0,0,PF01262;PF05222;PF02233;PF12769;
CHOYP_CLC4E.1.1|m.15210,BarePG-BareWB,0.133548348,sp|P86854|PLCL_MYTGA,,Perlucin-like protein,Mytilus galloprovincialis (Mediterranean mussel),0,GO:0005576; GO:0030246,P86854,sp,PLCL_MYTGA,26.946,167,106,6,2,163,1,156,6.27E-15,208,TXD16_HUMAN,reviewed,Thioredoxin domain-containing protein 16,TXNDC16 KIAA1344,Homo sapiens (Human),825,cell redox homeostasis [GO:0045454],GO:0005788; GO:0045454; GO:0070062,0,0,0,PF00085;
CHOYP_CNOT1.1.1|m.12104,EelgrassPG-EelgrassWB,0.466474709,sp|Q6ZQ08|CNOT1_MOUSE,,CCR4-NOT transcription complex subunit 1 (CCR4-associated factor 1),Mus musculus (Mouse),"gene silencing by miRNA [GO:0035195]; negative regulation of intracellular estrogen receptor signaling pathway [GO:0033147]; negative regulation of retinoic acid receptor signaling pathway [GO:0048387]; negative regulation of transcription from RNA polymerase II promoter [GO:0000122]; negative regulation of translation [GO:0017148]; nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay [GO:0000288]; positive regulation of cytoplasmic mRNA processing body assembly [GO:0010606]; positive regulation of mRNA catabolic process [GO:0061014]; positive regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay [GO:1900153]; positive regulation of nuclear-transcribed mRNA poly(A) tail shortening [GO:0060213]; regulation of stem cell population maintenance [GO:2000036]; RNA phosphodiester bond hydrolysis, exonucleolytic [GO:0090503]; transcription, DNA-templated [GO:0006351]; trophectodermal cell differentiation [GO:0001829]",GO:0000122; GO:0000288; GO:0000932; GO:0001829; GO:0005615; GO:0005634; GO:0005737; GO:0006351; GO:0010606; GO:0016020; GO:0017148; GO:0019904; GO:0030014; GO:0030015; GO:0030331; GO:0032947; GO:0033147; GO:0035195; GO:0042974; GO:0043231; GO:0044822; GO:0048387; GO:0060213; GO:0061014; GO:0070016; GO:0090503; GO:1900153; GO:2000036,Q6ZQ08,sp,CNOT1_MOUSE,61.78,2449,838,32,1,2429,1,2371,0,119,ASOMP_ACRMI,reviewed,Acidic skeletal organic matrix protein (Acidic SOMP),0,Acropora millepora (Staghorn coral),359,0,GO:0005576,0,0,0,0
CHOYP_CP3AB.4.4|m.47872,EelgrassPG-EelgrassSK,0.071282606,sp|Q64459|CP3AB_MOUSE,,Cytochrome P450 3A11 (EC 1.14.14.1) (CYPIIIA11) (Cytochrome P-450IIIAM1) (Cytochrome P-450UT),Mus musculus (Mouse),0,GO:0004497; GO:0005506; GO:0005789; GO:0016491; GO:0020037; GO:0031090; GO:0070330,Q64459,sp,CP3AB_MOUSE,41.245,514,282,7,1,511,1,497,1.61E-136,735,HSP83_DROPS,reviewed,Heat shock protein 83 (HSP 82),Hsp83 Hsp82 GA11622,Drosophila pseudoobscura pseudoobscura (Fruit fly),717,protein folding [GO:0006457]; response to stress [GO:0006950],GO:0005524; GO:0005737; GO:0006457; GO:0006950,0,0,0,PF02518;PF00183;
CHOYP_CP3AO.1.1|m.63459,EelgrassSK-EelgrassWB,0.115970026,sp|P51538|CP3A9_RAT,,Cytochrome P450 3A9 (EC 1.14.14.1) (3AH15) (CYPIIIA9) (Cytochrome P450 olfactive 3) (Cytochrome P450-OLF3),Rattus norvegicus (Rat),response to stimulus [GO:0050896]; sensory perception of smell [GO:0007608],GO:0004497; GO:0005506; GO:0005789; GO:0007608; GO:0008395; GO:0020037; GO:0031090; GO:0050896; GO:0070330,P51538,sp,CP3A9_RAT,35.477,482,288,13,64,541,34,496,8.93E-95,845,CH60_DROME,reviewed,"60 kDa heat shock protein, mitochondrial (60 kDa chaperonin) (CPN60) (Heat shock protein 60) (HSP-60) (Hsp60) (Mitochondrial matrix protein P1)",Hsp60 Mmp-P1 CG12101,Drosophila melanogaster (Fruit fly),573,cellular response to heat [GO:0034605]; mitochondrion organization [GO:0007005]; protein refolding [GO:0042026]; sleep [GO:0030431],GO:0005524; GO:0005739; GO:0005743; GO:0005759; GO:0005811; GO:0005875; GO:0007005; GO:0030431; GO:0034605; GO:0042026,0,0,0,PF00118;
CHOYP_DGRI_GH15309.1.1|m.15570,BareCI-BareFB,0.070327551,sp|Q0MQD8|NDUB5_PANTR,,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 5, mitochondrial (Complex I-SGDH) (CI-SGDH) (NADH-ubiquinone oxidoreductase SGDH subunit)",Pan troglodytes (Chimpanzee),oxidation-reduction process [GO:0055114],GO:0005654; GO:0005747; GO:0016021; GO:0055114,Q0MQD8,sp,NDUB5_PANTR,37.705,122,70,4,73,190,61,180,1.30E-15,127,GPX5_RAT,reviewed,Epididymal secretory glutathione peroxidase (EC 1.11.1.9) (Epididymis-specific glutathione peroxidase-like protein) (EGLP) (Glutathione peroxidase 5) (GPx-5) (GSHPx-5),Gpx5,Rattus norvegicus (Rat),221,response to oxidative stress [GO:0006979],GO:0004602; GO:0005576; GO:0006979,0,0,cd00340;,PF00255;
CHOYP_EF2.1.5|m.1541,EelgrassCI-EelgrassSK,0.127771756,sp|P24156|L2CC_DROME,,Protein l(2)37Cc,Drosophila melanogaster (Fruit fly),cellular response to hypoxia [GO:0071456]; multicellular organism development [GO:0007275]; sensory perception of pain [GO:0019233],GO:0005737; GO:0005739; GO:0005811; GO:0005875; GO:0007275; GO:0016020; GO:0019233; GO:0071456,P24156,sp,L2CC_DROME,72.862,269,73,0,2,270,3,271,1.06E-144,53.5,PLCL_MYTGA,reviewed,Perlucin-like protein,0,Mytilus galloprovincialis (Mediterranean mussel),156,0,GO:0005576; GO:0030246,0,0,0,PF00059;
CHOYP_GPX5.1.1|m.44157,EelgrassCI-EelgrassSK,0.058208741,sp|P30710|GPX5_RAT,,Epididymal secretory glutathione peroxidase (EC 1.11.1.9) (Epididymis-specific glutathione peroxidase-like protein) (EGLP) (Glutathione peroxidase 5) (GPx-5) (GSHPx-5),Rattus norvegicus (Rat),response to oxidative stress [GO:0006979],GO:0004602; GO:0005576; GO:0006979,P30710,sp,GPX5_RAT,54.237,118,47,3,1,113,97,212,1.71E-36,617,PDIA1_RAT,reviewed,Protein disulfide-isomerase (PDI) (EC 5.3.4.1) (Cellular thyroid hormone-binding protein) (Prolyl 4-hydroxylase subunit beta),P4hb Pdia1,Rattus norvegicus (Rat),509,cell redox homeostasis [GO:0045454]; cellular response to hypoxia [GO:0071456]; peptidyl-proline hydroxylation to 4-hydroxy-L-proline [GO:0018401]; positive regulation of viral entry into host cell [GO:0046598]; protein folding [GO:0006457]; regulation of oxidative stress-induced intrinsic apoptotic signaling pathway [GO:1902175]; response to endoplasmic reticulum stress [GO:0034976],GO:0003756; GO:0004656; GO:0005783; GO:0005788; GO:0005793; GO:0005925; GO:0006457; GO:0009897; GO:0016222; GO:0018401; GO:0019899; GO:0034663; GO:0034976; GO:0042470; GO:0044822; GO:0045454; GO:0046598; GO:0046982; GO:0070062; GO:0071456; GO:1902175,0,0,0,PF00085;
CHOYP_HS12A.11.33|m.39341,BareCI-BarePG,0.279073622,sp|O43301|HS12A_HUMAN,,Heat shock 70 kDa protein 12A,Homo sapiens (Human),0,GO:0005524; GO:0070062,O43301,sp,HS12A_HUMAN,31.356,590,345,15,1094,1627,50,635,1.62E-75,87.8,PLCL_MYTGA,reviewed,Perlucin-like protein,0,Mytilus galloprovincialis (Mediterranean mussel),156,0,GO:0005576; GO:0030246,0,0,0,PF00059;
CHOYP_HS12A.14.33|m.41988,EelgrassPG-EelgrassWB,0.080112112,sp|Q9CZJ2|HS12B_MOUSE,,Heat shock 70 kDa protein 12B,Mus musculus (Mouse),0,GO:0005524,Q9CZJ2,sp,HS12B_MOUSE,27.83,636,381,15,37,606,61,684,3.18E-73,267,HS12B_HUMAN,reviewed,Heat shock 70 kDa protein 12B,HSPA12B C20orf60,Homo sapiens (Human),686,0,GO:0005524,0,0,0,0
CHOYP_HS12A.20.33|m.55554,BareWB-EelgrassWB,0.562514212,sp|Q8K0U4|HS12A_MOUSE,,Heat shock 70 kDa protein 12A,Mus musculus (Mouse),0,GO:0005524; GO:0070062,Q8K0U4,sp,HS12A_MOUSE,34.135,624,354,12,46,618,56,673,3.39E-110,449,MK07_MOUSE,reviewed,Mitogen-activated protein kinase 7 (MAP kinase 7) (MAPK 7) (EC 2.7.11.24) (Big MAP kinase 1) (BMK-1) (Extracellular signal-regulated kinase 5) (ERK-5),Mapk7 Bmk1 Erk5,Mus musculus (Mouse),806,cell cycle [GO:0007049]; cell differentiation [GO:0030154]; cellular response to growth factor stimulus [GO:0071363]; cellular response to hydrogen peroxide [GO:0070301]; cellular response to laminar fluid shear stress [GO:0071499]; cellular response to transforming growth factor beta stimulus [GO:0071560]; negative regulation of apoptotic process [GO:0043066]; negative regulation of endothelial cell apoptotic process [GO:2000352]; negative regulation of ERK5 cascade [GO:0070377]; negative regulation of extrinsic apoptotic signaling pathway in absence of ligand [GO:2001240]; negative regulation of heterotypic cell-cell adhesion [GO:0034115]; negative regulation of MAP kinase activity [GO:0043407]; negative regulation of NFAT protein import into nucleus [GO:0051534]; negative regulation of oxidative stress-induced intrinsic apoptotic signaling pathway [GO:1902176]; negative regulation of response to cytokine stimulus [GO:0060761]; peptidyl-serine phosphorylation [GO:0018105]; positive regulation of protein metabolic process [GO:0051247]; positive regulation of transcription from RNA polymerase II promoter [GO:0045944]; positive regulation of transcription from RNA polymerase II promoter in response to stress [GO:0036003]; protein phosphorylation [GO:0006468]; regulation of angiogenesis [GO:0045765],GO:0004672; GO:0004674; GO:0005524; GO:0005634; GO:0005654; GO:0005737; GO:0005829; GO:0006468; GO:0007049; GO:0016605; GO:0018105; GO:0030154; GO:0034115; GO:0036003; GO:0043066; GO:0043407; GO:0045765; GO:0045944; GO:0051019; GO:0051247; GO:0051534; GO:0060761; GO:0070301; GO:0070377; GO:0071363; GO:0071499; GO:0071560; GO:1902176; GO:2000352; GO:2001240,0,0,0,PF00069;
CHOYP_HS12A.21.33|m.58427,EelgrassCI-EelgrassSK,0.003413875,sp|Q8K0U4|HS12A_MOUSE,,Heat shock 70 kDa protein 12A,Mus musculus (Mouse),0,GO:0005524; GO:0070062,Q8K0U4,sp,HS12A_MOUSE,31.329,632,371,16,862,1434,46,673,5.91E-81,75.5,NDUB5_PANTR,reviewed,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 5, mitochondrial (Complex I-SGDH) (CI-SGDH) (NADH-ubiquinone oxidoreductase SGDH subunit)",NDUFB5,Pan troglodytes (Chimpanzee),189,oxidation-reduction process [GO:0055114],GO:0005654; GO:0005747; GO:0016021; GO:0055114,0,0,0,PF09781;
CHOYP_HS12A.25.33|m.60352,EelgrassCI-EelgrassSK,0.233775117,sp|Q9CZJ2|HS12B_MOUSE,,Heat shock 70 kDa protein 12B,Mus musculus (Mouse),0,GO:0005524,Q9CZJ2,sp,HS12B_MOUSE,28.527,638,376,16,37,608,61,684,1.14E-80,407,CP3AB_MOUSE,reviewed,Cytochrome P450 3A11 (EC 1.14.14.1) (CYPIIIA11) (Cytochrome P-450IIIAM1) (Cytochrome P-450UT),Cyp3a11 Cyp3a-11,Mus musculus (Mouse),504,0,GO:0004497; GO:0005506; GO:0005789; GO:0016491; GO:0020037; GO:0031090; GO:0070330,0,0,0,PF00067;
